Id,Date,Time,Depth_NAVD88m
116,12/5/2014,0:00:00,0.4356
117,12/5/2014,0:06:00,0.428
118,12/5/2014,0:12:00,0.4234
119,12/5/2014,0:18:00,0.421
120,12/5/2014,0:24:00,0.4172
121,12/5/2014,0:30:00,0.4135
122,12/5/2014,0:36:00,0.4099
123,12/5/2014,0:42:00,0.4068
124,12/5/2014,0:48:00,0.406
125,12/5/2014,0:54:00,0.4053
126,12/5/2014,1:00:00,0.4015
127,12/5/2014,1:06:00,0.3964
128,12/5/2014,1:12:00,0.3911
129,12/5/2014,1:18:00,0.3892
130,12/5/2014,1:24:00,0.3861
131,12/5/2014,1:30:00,0.3838
132,12/5/2014,1:36:00,0.3825
133,12/5/2014,1:42:00,0.3773
134,12/5/2014,1:48:00,0.3766
135,12/5/2014,1:54:00,0.3748
136,12/5/2014,2:00:00,0.3733
137,12/5/2014,2:06:00,0.3728
138,12/5/2014,2:12:00,0.3692
139,12/5/2014,2:18:00,0.3628
140,12/5/2014,2:24:00,0.36
141,12/5/2014,2:30:00,0.3591
142,12/5/2014,2:36:00,0.3566
143,12/5/2014,2:42:00,0.3519
144,12/5/2014,2:48:00,0.3498
145,12/5/2014,2:54:00,0.3459
146,12/5/2014,3:00:00,0.3428
147,12/5/2014,3:06:00,0.3392
148,12/5/2014,3:12:00,0.337
149,12/5/2014,3:18:00,0.3333
150,12/5/2014,3:24:00,0.3314
151,12/5/2014,3:30:00,0.3285
152,12/5/2014,3:36:00,0.3274
153,12/5/2014,3:42:00,0.3243
154,12/5/2014,3:48:00,0.3195
155,12/5/2014,3:54:00,0.3154
156,12/5/2014,4:00:00,0.3152
157,12/5/2014,4:06:00,0.3133
158,12/5/2014,4:12:00,0.3123
159,12/5/2014,4:18:00,0.3106
160,12/5/2014,4:24:00,0.3082
161,12/5/2014,4:30:00,0.3059
162,12/5/2014,4:36:00,0.3042
163,12/5/2014,4:42:00,0.3027
164,12/5/2014,4:48:00,0.3025
165,12/5/2014,4:54:00,0.2993
166,12/5/2014,5:00:00,0.2976
167,12/5/2014,5:06:00,0.2969
168,12/5/2014,5:12:00,0.2952
169,12/5/2014,5:18:00,0.295
170,12/5/2014,5:24:00,0.2965
