"","Date","Time","Level"
"1","7/1/2001","0:00:00",0.219
"2","7/1/2001","0:06:00",0.097
"3","7/1/2001","0:12:00",-0.021
"4","7/1/2001","0:18:00",-0.07
"5","7/1/2001","0:24:00",-0.188
"6","7/1/2001","0:30:00",-0.303
"7","7/1/2001","0:36:00",-0.368
"8","7/1/2001","0:42:00",-0.509
"9","7/1/2001","0:48:00",-0.608
"10","7/1/2001","0:54:00",-0.742
"11","7/1/2001","1:00:00",-0.851
"12","7/1/2001","1:06:00",-0.966
"13","7/1/2001","1:12:00",-1.077
"14","7/1/2001","1:18:00",-1.205
"15","7/1/2001","1:24:00",-1.294
"16","7/1/2001","1:30:00",-1.412
"17","7/1/2001","1:36:00",-1.513
"18","7/1/2001","1:42:00",-1.635
"19","7/1/2001","1:48:00",-1.714
"20","7/1/2001","1:54:00",-1.792
"21","7/1/2001","2:00:00",-1.924
"22","7/1/2001","2:06:00",-2.022
"23","7/1/2001","2:12:00",-2.111
"24","7/1/2001","2:18:00",-2.225
"25","7/1/2001","2:24:00",-2.343
"26","7/1/2001","2:30:00",-2.393
"27","7/1/2001","2:36:00",-2.445
"28","7/1/2001","2:42:00",-2.53
"29","7/1/2001","2:48:00",-2.603
"30","7/1/2001","2:54:00",-2.652
"31","7/1/2001","3:00:00",-2.681
"32","7/1/2001","3:06:00",-2.701
"33","7/1/2001","3:12:00",-2.714
"34","7/1/2001","3:18:00",-2.714
"35","7/1/2001","3:24:00",-2.708
"36","7/1/2001","3:30:00",-2.704
"37","7/1/2001","3:36:00",-2.678
"38","7/1/2001","3:42:00",-2.635
"39","7/1/2001","3:48:00",-2.59
"40","7/1/2001","3:54:00",-2.53
"41","7/1/2001","4:00:00",-2.504
"42","7/1/2001","4:06:00",-2.409
"43","7/1/2001","4:12:00",-2.314
"44","7/1/2001","4:18:00",-2.252
"45","7/1/2001","4:24:00",-2.173
"46","7/1/2001","4:30:00",-2.058
"47","7/1/2001","4:36:00",-1.878
"48","7/1/2001","4:42:00",-1.743
"49","7/1/2001","4:48:00",-1.694
"50","7/1/2001","4:54:00",-1.677
"51","7/1/2001","5:00:00",-1.467
"52","7/1/2001","5:06:00",-1.484
"53","7/1/2001","5:12:00",-1.405
"54","7/1/2001","5:18:00",-1.34
"55","7/1/2001","5:24:00",-1.267
"56","7/1/2001","5:30:00",-1.189
"57","7/1/2001","5:36:00",-1.054
"58","7/1/2001","5:42:00",-0.877
"59","7/1/2001","5:48:00",-0.765
"60","7/1/2001","5:54:00",-0.651
"61","7/1/2001","6:00:00",-0.467
"62","7/1/2001","6:06:00",-0.332
"63","7/1/2001","6:12:00",-0.195
"64","7/1/2001","6:18:00",-0.119
"65","7/1/2001","6:24:00",0.006
"66","7/1/2001","6:30:00",0.153
"67","7/1/2001","6:36:00",0.212
"68","7/1/2001","6:42:00",0.324
"69","7/1/2001","6:48:00",0.412
"70","7/1/2001","6:54:00",0.544
"71","7/1/2001","7:00:00",0.649
"72","7/1/2001","7:06:00",0.718
"73","7/1/2001","7:12:00",0.836
"74","7/1/2001","7:18:00",0.931
"75","7/1/2001","7:24:00",1.036
"76","7/1/2001","7:30:00",1.085
"77","7/1/2001","7:36:00",1.197
"78","7/1/2001","7:42:00",1.242
"79","7/1/2001","7:48:00",1.288
"80","7/1/2001","7:54:00",1.364
"81","7/1/2001","8:00:00",1.393
"82","7/1/2001","8:06:00",1.436
"83","7/1/2001","8:12:00",1.469
"84","7/1/2001","8:18:00",1.541
"85","7/1/2001","8:24:00",1.561
"86","7/1/2001","8:30:00",1.594
"87","7/1/2001","8:36:00",1.623
"88","7/1/2001","8:42:00",1.656
"89","7/1/2001","8:48:00",1.685
"90","7/1/2001","8:54:00",1.676
"91","7/1/2001","9:00:00",1.682
"92","7/1/2001","9:06:00",1.695
"93","7/1/2001","9:12:00",1.653
"94","7/1/2001","9:18:00",1.669
"95","7/1/2001","9:24:00",1.639
"96","7/1/2001","9:30:00",1.653
"97","7/1/2001","9:36:00",1.587
"98","7/1/2001","9:42:00",1.574
"99","7/1/2001","9:48:00",1.521
"100","7/1/2001","9:54:00",1.489
"101","7/1/2001","10:00:00",1.433
"102","7/1/2001","10:06:00",1.393
"103","7/1/2001","10:12:00",1.321
"104","7/1/2001","10:18:00",1.239
"105","7/1/2001","10:24:00",1.17
"106","7/1/2001","10:30:00",1.078
"107","7/1/2001","10:36:00",0.993
"108","7/1/2001","10:42:00",0.901
"109","7/1/2001","10:48:00",0.816
"110","7/1/2001","10:54:00",0.75
"111","7/1/2001","11:00:00",0.626
"112","7/1/2001","11:06:00",0.544
"113","7/1/2001","11:12:00",0.449
"114","7/1/2001","11:18:00",0.337
